First_name,Last_name,POS,AGE,Old Team,NEW TEAM,YRS,DOLLARS,Year
Aaron,Judge,CF,30.6,NYY,NYY,9,"360,000,000",2023
Trea,Turner,SS,29.4,LAD,PHI,11,"300,000,000",2023
Xander,Bogaerts,2B,30.2,BOS,SD,11,"280,000,000",2023
Carlos,Correa,SS,28.2,MIN,MIN,6,"200,000,000",2023
Jacob,deGrom,SP,34.4,NYM,TEX,5,"185,000,000",2023
Dansby,Swanson,SS,28.8,ATL,CHC,7,"177,000,000",2023
Carlos,Rodon,SP,30,SF,NYY,6,"162,000,000",2023
Brandon,Nimmo,CF,29.7,NYM,NYM,8,"162,000,000",2023
Edwin,Diaz,RP,28.6,NYM,NYM,5,"102,000,000",2023
Willson,Contreras,C,30.5,CHC,STL,5,"87,500,000",2023
Justin,Verlander,SP,39.8,HOU,NYM,2,"86,666,666",2023
Andrew,Benintendi,LF,28.4,NYY,CHW,5,"75,000,000",2023
Taijuan,Walker,SP,30.2,NYM,PHI,4,"72,000,000",2023
Jameson,Taillon,SP,31,NYY,CHC,4,"68,000,000",2023
Chris,Bassitt,SP,33.8,NYM,TOR,3,"63,000,000",2023
José,Abreu,1B,35.8,CHW,HOU,3,"58,500,000",2023
Robert,Suarez,RP,31.7,SD,SD,5,"46,000,000",2023
Mitch,Haniger,LF,31.9,SEA,SF,3,"43,500,000",2023
Zach,Eflin,SP,28.6,PHI,TB,3,"40,000,000",2023
Anthony,Rizzo,1B,33.2,NYY,NYY,2,"40,000,000",2023
Tyler,Anderson,SP,32.8,LAD,LAA,3,"39,000,000",2023
Michael,Conforto,RF,29.8,NYM,SF,2,"36,000,000",2023
Rafael,Montero,RP,32,HOU,HOU,3,"34,500,000",2023
Nathan,Eovaldi,SP,32.8,BOS,TEX,2,"34,000,000",2023
Taylor,Rogers,RP,32,MIL,SF,3,"33,000,000",2023
Josh,Bell,1B,30.2,SD,CLE,2,"33,000,000",2023
Kenley,Jansen,RP,35.2,ATL,BOS,2,"32,000,000",2023
Christian,Vázquez,C,32.2,HOU,MIN,3,"30,000,000",2023
Michael,Wacha,SP,31.6,BOS,SD,4,"26,000,000",2023
Jose,Quintana,SP,33.8,STL,NYM,2,"26,000,000",2023
Ross,Stripling,SP,33,TOR,SF,2,"25,000,000",2023
Sean,Manaea,SP,30.8,SD,SF,2,"25,000,000",2023
Andrew,Heaney,SP,31.5,LAD,TEX,2,"25,000,000",2023
Justin,Turner,3B,38,LAD,BOS,2,"21,700,000",2023
Clayton,Kershaw,SP,34.7,LAD,LAD,1,"20,000,000",2023
Joc,Pederson,LF,30.5,SF,SF,1,"19,650,000",2023
Martin,Perez,SP,31.6,TEX,TEX,1,"19,650,000",2023
Drew,Smyly,SP,33.5,CHC,CHC,2,"19,000,000",2023
Cody,Bellinger,CF,27.3,LAD,CHC,1,"17,500,000",2023
Jean,Segura,3B,32.8,PHI,MIA,2,"17,000,000",2023
Jordan,Lyles,SP,32.2,BAL,KC,2,"17,000,000",2023
Brandon,Drury,2B,30.2,SD,LAA,2,"17,000,000",2023
Seth,Lugo,SP,33.1,NYM,SD,2,"15,000,000",2023
