First_name,Last_name,POS,AGE,2010 TEAM,NEW TEAM,YRS,DOLLARS,Year
Jose,Reyes,SS,27,Mets,Marlins,6,106000000,2011
Hanley,Ramirez,SS,30,Dodgers,Red Sox,4,88000000,2014
Derek,Jeter,SS,35,Yankees,Yankees,3,51000000,2010
Jimmy,Rollins,SS,32,Phillies,Phillies,3,38000000,2011
Marwin,Gonzalez,SS,29,Astros,Twins,2,21000000,2018
Didi,Gregorius,SS,30,Yankees,Phillies,1,14000000,2019
Clint,Barmes,SS,31,Astros,Pirates,2,10500000,2011
Stephen,Drew,SS,28,Athletics,Red Sox,1,9500000,2012
Willie,Bloomquist,SS,35,Diamondbacks,Mariners,2,5800000,2013
Jordy,Mercer,SS,32,Pirates,Tigers,1,5250000,2018
Brendan,Ryan,SS,30,Yankees,Yankees,2,5000000,2013
Stephen,Drew,SS,30,Yankees,Yankees,1,5000000,2014
Freddy,Galvis,SS,29,Padres,Blue Jays,1,5000000,2018
Alex,Gonzalez,SS,34,Braves,Brewers,1,4250000,2011
Ramon,Santiago,SS,31,Tigers,Tigers,2,4200000,2011
Alexei,Ramirez,SS,34,White Sox,Padres,1,4000000,2015
Willie,Bloomquist,SS,33,Diamondbacks,Diamondbacks,2,3800000,2011
Cliff,Pennington,SS,31,Blue Jays,Angels,2,3750000,2015
Stephen,Drew,SS,33,Nationals,Nationals,1,3500000,2016
Wilson,Betemit,SS,29,Tigers,Orioles,2,3250000,2011
Stephen,Drew,SS,32,Yankees,Nationals,1,3000000,2015
Chris,Owings,SS,27,Diamondbacks,Royals,1,3000000,2018
José,Iglesias,SS,30,Reds,Orioles,1,3000000,2019
Alcides,Escobar,SS,31,Royals,Royals,1,2500000,2017
Edgar,Renteria,SS,34,Giants,Reds,1,2100000,2010
Rickie,Weeks,SS,31,Brewers,Mariners,1,2000000,2014
Mike,Aviles,SS,34,Indians,Tigers,1,2000000,2015
José,Reyes,SS,34,Mets,Mets,1,2000000,2017
Tim,Beckham,SS,29,Orioles,Mariners,1,1750000,2018
Cesar,Izturis,SS,30,Orioles,Orioles,1,1500000,2010
Clint,Barmes,SS,34,Pirates,Padres,1,1500000,2014
Craig,Counsell,SS,39,Brewers,Brewers,1,1400000,2010
Gordon,Beckham,SS,29,White Sox,Braves,1,1250000,2015
Adam,Rosales,SS,33,Padres,Athletics,1,1250000,2016
Erick,Aybar,SS,34,Padres,Twins,1,1250000,2017
Jack,Wilson,SS,33,Braves,Braves,1,1000000,2011
Willie,Bloomquist,SS,32,Reds,Diamondbacks,1,900000,2010
JT,Riddle,SS,28,Marlins,Pirates,1,850000,2019
Adam,Rosales,SS,29,Athletics,Rangers,1,750000,2013
Troy,Tulowitzki,SS,34,Blue Jays,Yankees,1,555000,2018
Orlando,Cabrera,SS,35,Twins,Reds,1,3020000,2009
Alex,Gonzalez,SS,33,Red Sox,Blue Jays,1,2750000,2009
Craig,Counsell,SS,39,Brewers,Brewers,1,2100000,2009
Alex,Cora,SS,34,Mets,Mets,1,2000000,2009
Bobby,Crosby,SS,30,Athletics,Pirates,1,1000000,2009
Bryce,Harper,OF,26,Nationals,Phillies,13,330000000,2018
Jason,Heyward,OF,26,Cardinals,Cubs,8,184000000,2015
Jacoby,Ellsbury,OF,29,Red Sox,Yankees,7,153000000,2013
Carl,Crawford,OF,28,Rays,Red Sox,7,142000000,2010
Justin,Upton,OF,28,Padres,Tigers,6,132750000,2015
Shin-Soo,Choo,OF,30,Reds,Rangers,7,130000000,2013
Jayson,Werth,OF,30,Phillies,Nationals,7,126000000,2010
Josh,Hamilton,OF,30,Rangers,Angels,5,123000000,2012
Yoenis,Cespedes,OF,31,Mets,Mets,4,110000000,2016
J.D.,Martinez,OF,30,Diamondbacks,Red Sox,5,110000000,2017
Dexter,Fowler,OF,30,Cubs,Cardinals,5,82500000,2016
Lorenzo,Cain,OF,31,Royals,Brewers,5,80000000,2017
B.J.,Upton,OF,27,Rays,Braves,5,75250000,2012
Yoenis,Cespedes,OF,30,Mets,Mets,3,75000000,2015
Alex,Gordon,OF,32,Royals,Royals,4,72000000,2015
Ian,Desmond,OF,31,Rangers,Rockies,5,70000000,2016
Yasmany,Tomas,OF,23,Cuba,Diamondbacks,6,68500000,2014
Nick,Castellanos,OF,27,Cubs,Reds,4,64000000,2019
Curtis,Granderson,OF,31,Yankees,Mets,4,60000000,2013
AJ,Pollock,OF,31,Diamondbacks,Dodgers,5,60000000,2018
