Year,Team,Payroll,Wins,Division,DS,CS,WS,Champion
2021,ARI,8.9077233,52,0,0,0,0,0
2020,ARI,17.33445063,67.5,0,0,0,0,0
2019,ARI,10.7584167,85,0,0,0,0,0
2018,ARI,13.25,82,0,0,0,0,0
2017,ARI,9.32576,93,0,1,0,0,0
2016,ARI,9.8657436,69,0,0,0,0,0
2015,ARI,9.1518833,79,0,0,0,0,0
2014,ARI,11.2688666,64,0,0,0,0,0
2013,ARI,9.01585,81,0,0,0,0,0
2012,ARI,7.4284833,81,0,0,0,0,0
2011,ARI,5.3639833,94,1,1,0,0,0
2010,ARI,6.0718167,65,0,0,0,0,0
2009,ARI,7.3571667,70,0,0,0,0,0
2008,ARI,6.6202713,82,0,0,0,0,0
2007,ARI,5.2067546,90,1,1,1,0,0
2006,ARI,5.9684226,76,0,0,0,0,0
2005,ARI,6.3015834,77,0,0,0,0,0
2004,ARI,7.0204984,51,0,0,0,0,0
2003,ARI,8.0640333,84,0,0,0,0,0
2002,ARI,10.282,98,1,1,0,0,0
2001,ARI,8.1206513,92,1,1,1,1,1
2000,ARI,8.1027833,85,0,0,0,0,0
2021,ATL,13.4459435,88,1,1,1,1,1
2020,ATL,17.89438176,94.5,1,1,1,0,0
2019,ATL,11.053,97,1,1,0,0,0
2018,ATL,12.054,90,1,1,0,0,0
2017,ATL,11.2437541,72,0,0,0,0,0
2016,ATL,8.4821541,68,0,0,0,0,0
2015,ATL,9.7578565,67,0,0,0,0,0
2014,ATL,11.0897341,79,0,0,0,0,0
2013,ATL,8.9288193,96,1,1,0,0,0
2012,ATL,8.2409942,94,0,0,0,0,0
2011,ATL,8.7003192,89,0,0,0,0,0
2010,ATL,8.4423667,91,0,1,0,0,0
2009,ATL,9.6726167,86,0,0,0,0,0
2008,ATL,10.2424018,72,0,0,0,0,0
2007,ATL,8.7290833,84,0,0,0,0,0
2006,ATL,9.0156876,79,0,0,0,0,0
2005,ATL,8.5148582,90,1,1,0,0,0
2004,ATL,8.8507788,96,1,1,0,0,0
2003,ATL,10.6243667,101,1,1,0,0,0
2002,ATL,9.3470367,101,1,1,0,0,0
2001,ATL,9.1851687,88,1,1,1,0,0
2000,ATL,8.4537836,95,1,1,0,0,0
2021,BAL,4.5701135,52,0,0,0,0,0
2020,BAL,6.45801579,67.5,0,0,0,0,0
2019,BAL,6.73711,54,0,0,0,0,0
2018,BAL,14.309,47,0,0,0,0,0
2017,BAL,16.3676616,75,0,0,0,0,0
2016,BAL,14.7943713,89,0,0,0,0,0
2015,BAL,11.0146097,81,0,0,0,0,0
2014,BAL,10.7406623,96,1,1,1,0,0
2013,BAL,9.1793333,85,0,0,0,0,0
2012,BAL,8.0804,93,0,1,0,0,0
2011,BAL,8.5304038,69,0,0,0,0,0
2010,BAL,8.16125,66,0,0,0,0,0
2009,BAL,6.7101667,64,0,0,0,0,0
2008,BAL,6.7196248,68,0,0,0,0,0
2007,BAL,9.3554808,69,0,0,0,0,0
2006,BAL,7.2585582,70,0,0,0,0,0
2005,BAL,7.4570539,74,0,0,0,0,0
2004,BAL,5.1212653,78,0,0,0,0,0
2003,BAL,7.38775,71,0,0,0,0,0
2002,BAL,6.0493487,67,0,0,0,0,0
2001,BAL,7.2426328,63,0,0,0,0,0
2000,BAL,8.1447435,74,0,0,0,0,0
2021,BOS,18.0261996,92,0,1,1,0,0
2020,BOS,22.80917394,64.8,0,0,0,0,0
2019,BOS,21.3188334,84,0,0,0,0,0
2018,BOS,23.565,108,1,1,1,1,1
2017,BOS,19.9805178,93,1,1,0,0,0
2016,BOS,19.9864178,93,1,1,0,0,0
2015,BOS,18.7407202,78,0,0,0,0,0
2014,BOS,16.2817411,71,0,0,0,0,0
2013,BOS,15.8967286,97,1,1,1,1,1
2012,BOS,17.3186619,69,0,0,0,0,0
2011,BOS,16.1407476,90,0,0,0,0,0
2010,BOS,16.2747333,89,0,0,0,0,0
2009,BOS,12.2696,95,0,1,0,0,0
2008,BOS,13.3440037,95,0,1,1,0,0
2007,BOS,14.3026214,96,1,1,1,1,1
2006,BOS,12.0099824,86,0,0,0,0,0
2005,BOS,12.1311945,95,0,1,0,0,0
2004,BOS,12.5208542,98,0,1,1,1,1
2003,BOS,9.99465,95,0,1,1,0,0
2002,BOS,10.836606,93,0,0,0,0,0
2001,BOS,10.9558908,82,0,0,0,0,0
2000,BOS,7.7940333,85,0,0,0,0,0
2021,CHC,14.96655,71,0,0,0,0,0
2020,CHC,20.56508001,91.8,1,0,0,0,0
2019,CHC,20.8199143,84,0,0,0,0,0
2018,CHC,18.346,95,0,0,0,0,0
2017,CHC,17.218988,92,1,1,1,0,0
2016,CHC,16.7444167,103,1,1,1,1,1
2015,CHC,11.9006885,97,0,1,1,0,0
2014,CHC,8.9007857,73,0,0,0,0,0
2013,CHC,10.4150726,66,0,0,0,0,0
2012,CHC,8.8197033,61,0,0,0,0,0
2011,CHC,12.5480664,71,0,0,0,0,0
2010,CHC,14.6859,75,0,0,0,0,0
2009,CHC,13.505,83,0,0,0,0,0
2008,CHC,11.8595833,97,1,1,0,0,0
2007,CHC,9.9670332,85,1,1,0,0,0
2006,CHC,9.4424499,66,0,0,0,0,0
2005,CHC,8.7210933,79,0,0,0,0,0
2004,CHC,9.1101667,89,0,0,0,0,0
