"Name","POS","AGE","YRS","DOLLARS","YEAR","G","R","HR","RBI","BB","SB","HITS","AS"
"Bryce Harper","OF","26","13","330000000","2018","417","282","87","273","306","38","394","3"
"Manny Machado","3B","26","10","300000000","2018","475","270","107","298","168","23","539","2"
"Albert Pujols","1B","31","10","250000000","2011","466","344","126","352","279","39","542","2"
"Anthony Rendon","3B","29","7","245000000","2019","428","286","83","318","219","14","490","1"
"Robinson Cano","2B","30","10","240000000","2013","480","290","88","319","164","18","574","3"
"Prince Fielder","1B","26","9","214000000","2011","485","292","116","344","331","4","498","2"
"Jason Heyward","OF","26","8","184000000","2015","404","220","38","156","171","45","412","0"
"Chris Davis","1B","29","7","161000000","2015","446","268","126","327","216","8","405","1"
"Jacoby Ellsbury","OF","29","7","153000000","2013","365","254","45","184","118","105","466","1"
"Eric Hosmer","1B","28","8","144000000","2017","477","276","68","291","184","18","531","1"
"Carl Crawford","OF","28","7","142000000","2010","417","275","42","215","127","132","490","2"
"Justin Upton","OF","28","6","132750000","2015","452","256","82","253","203","35","436","1"
"Shin-Soo Choo","OF","30","7","130000000","2013","393","232","45","157","221","53","412","0"
"Jayson Werth","OF","30","7","126000000","2010","444","277","87","251","230","53","431","1"
"Josh Hamilton","OF","30","5","123000000","2012","400","278","100","322","142","23","491","3"
"Yoenis Cespedes","OF","31","4","110000000","2016","442","262","88","291","119","17","474","2"
"J.D. Martinez","OF","30","5","110000000","2017","397","247","105","274","155","8","440","1"
"Jose Reyes","SS","27","6","106000000","2011","295","202","20","113","92","80","381","2"
"Adrian Beltre","3B","30","6","96000000","2010","407","212","61","223","109","23","456","1"
"Pablo Sandoval","3B","27","5","95000000","2014","405","179","42","215","124","1","422","1"
"Josh Donaldson","3B","34","4","92000000","2019","320","191","78","195","207","8","300","0"
"Hanley Ramirez","SS","30","4","88000000","2014","370","205","57","220","137","45","387","0"
"Brian McCann","C","29","5","85000000","2013","351","138","64","195","140","6","318","2"
"Dexter Fowler","OF","30","5","82500000","2016","396","247","38","129","229","44","395","1"
"Russell Martin","C","31","5","82000000","2014","369","146","47","175","170","19","298","0"
"Lorenzo Cain","OF","31","5","80000000","2017","398","243","40","177","122","68","458","1"
"B.J. Upton","OF","27","5","75250000","2012","449","250","69","221","183","109","404","0"
"Yoenis Cespedes","OF","30","3","75000000","2015","445","264","83","285","105","21","467","1"
"Yasmani Grandal","C","31","4","73000000","2019","422","194","74","203","221","7","340","1"
"Alex Gordon","OF","32","4","72000000","2015","415","217","52","203","166","25","414","3"
"Ian Desmond","OF","31","5","70000000","2016","466","249","65","239","135","58","465","1"
"Victor Martinez","1B","35","4","68000000","2014","310","155","46","186","124","3","370","0"
"Justin Turner","3B","32","4","64000000","2016","386","180","50","193","112","15","364","0"
"Nick Castellanos","OF","27","4","64000000","2019","465","261","76","263","131","8","530","0"
"Mike Moustakas","1B","31","4","64000000","2019","443","221","101","267","136","7","428","2"
"Curtis Granderson","OF","31","4","60000000","2013","376","269","91","240","187","43","340","2"
"Edwin Encarnacion","1B","34","3","60000000","2016","434","268","115","336","226","7","432","2"
"Carlos Santana","1B","31","3","60000000","2017","466","251","76","251","295","21","426","0"
"AJ Pollock","OF","31","5","60000000","2018","236","143","37","118","71","37","229","0"
"Nelson Cruz","OF","33","4","57000000","2014","427","222","91","274","138","17","428","2"
"Adam Dunn","OF","30","4","56000000","2010","475","245","116","308","315","2","413","0"
"Nick Swisher","OF","31","4","56000000","2012","447","247","76","267","230","5","446","1"
"Ben Zobrist","OF","34","4","56000000","2015","429","236","35","179","209","24","452","1"
"Jhonny Peralta","3B","30","4","53000000","2013","401","176","45","204","124","4","408","2"
"Chase Headley","3B","29","4","52000000","2014","436","209","57","214","204","32","417","0"
"Josh Reddick","OF","30","4","52000000","2016","369","173","42","168","116","19","351","0"
"Derek Jeter","SS","35","3","51000000","2010","459","306","39","202","187","59","570","3"
"Victor Martinez","1B","31","4","50000000","2010","355","182","45","222","139","2","401","2"
"Andrew McCutchen","OF","32","3","50000000","2018","464","258","72","232","237","31","457","0"
"Jose Abreu","1B","33","3","50000000","2019","443","248","88","303","108","7","501","2"
"Michael Bourn","OF","29","4","48000000","2012","453","274","13","145","182","155","506","2"
"Carlos Beltran","OF","35","3","45000000","2013","438","240","78","265","174","19","467","3"
"Nick Markakis","OF","30","4","44000000","2014","418","229","37","163","159","6","474","0"
"Melky Cabrera","OF","29","3","42000000","2014","340","204","30","163","102","21","426","1"
"Angel Pagan","OF","30","4","40000000","2012","427","243","26","181","136","98","467","0"
"Shane Victorino","OF","31","3","39000000","2012","429","251","46","185","161","92","449","1"
"Jay Bruce","OF","30","3","39000000","2017","450","228","95","287","159","14","407","1"
"Jimmy Rollins","SS","32","3","38000000","2011","383","235","45","181","142","78","405","0"
"Zack Cozart","3B","32","3","38000000","2017","295","175","49","141","113","10","297","1"
"Paul Konerko","1B","33","3","37500000","2010","423","223","89","261","195","3","427","1"
"Daniel Murphy","1B","30","3","37500000","2015","434","227","36","208","102","38","500","1"
"Mark Trumbo","OF","31","3","37500000","2016","389","193","83","233","115","4","367","1"
"Aramis Ramirez","3B","32","3","36000000","2011","355","187","66","241","105","3","382","0"
"Kendrys Morales","1B","33","3","33000000","2016","410","174","60","241","133","0","392","0"
"Mike Napoli","1B","31","2","32000000","2013","359","204","77","223","187","6","327","1"
"Michael Brantley","OF","31","2","32000000","2018","244","141","26","135","82","24","286","2"
"Michael Cuddyer","OF","31","3","31500000","2011","449","256","66","245","160","24","477","1"
"Denard Span","OF","31","3","31000000","2015","360","207","14","106","117","62","428","0"
