"game_str","play_per_game","catcher"
"1883_004_Vis1AC_Home1A",124,NA
"1883_004_Vis1AC_Home1A",221,NA
"1883_010_Vis1AD_Home1A",10,NA
"1883_010_Vis1AD_Home1A",182,NA
"1883_010_Vis1AD_Home1A",213,NA
"1883_011_Vis1AD_Home1A",90,NA
"1883_013_Vis1AE_Home1A",159,NA
"1883_014_Vis1AE_Home1A",229,NA
"1883_025_Vis1AG_Home1A",130,NA
"1883_035_Vis1AI_Home1A",96,NA
"1883_036_Vis1AI_Home1A",130,408
"1883_036_Vis1AI_Home1A",188,NA
"1884_075_Vis1AU_Home1A",56,598
"1884_094_Vis1AW_Home1A",8,598
"1883_026_Vis2AB_Home2A",43,NA
"1883_039_Vis2AD_Home2A",41,NA
"1883_039_Vis2AD_Home2A",80,NA
"1883_041_Vis2AD_Home2A",130,647
"1883_046_Vis2AE_Home2A",45,NA
"1883_046_Vis2AE_Home2A",97,6228
"1883_047.5_Vis2AE_Home2A",112,647
"1884_057_Vis2AL_Home2A",251,6446
"1884_058_Vis2AL_Home2A",189,737
"1884_081_Vis2AO_Home2A",10,737
"1884_090_Vis2AP_Home2A",25,5321
"1884_109_Vis2AR_Home2A",210,408
"1884_116_Vis2AS_Home2A",69,408
"1884_116_Vis2AS_Home2A",76,408
"1884_132_Vis2AV_Home2A",7,408
"1884_136_Vis2AW_Home2A",28,9009
"1883_011_Vis3AB_Home3A",78,530
"1883_016_Vis3AC_Home3A",297,NA
"1883_018_Vis3AC_Home3A",283,NA
"1883_039_Vis3AE_Home3A",76,920
"1883_039_Vis3AE_Home3A",190,NA
"1883_040_Vis3AE_Home3A",9,NA
"1883_040_Vis3AE_Home3A",42,NA
"1883_041_Vis3AE_Home3A",104,NA
"1883_043_Vis3AF_Home3A",269,NA
"1883_045_Vis3AF_Home3A",42,3449
"1884_002_Vis3AG_Home3A",39,786
"1884_002_Vis3AG_Home3A",180,4829
"1884_010_Vis3AH_Home3A",134,786
"1884_031_Vis3AJ_Home3A",136,2497
"1884_032_Vis3AJ_Home3A",36,719
"1884_037_Vis3AK_Home3A",201,719
"1884_053_Vis3AL_Home3A",159,786
"1884_064_Vis3AM_Home3A",252,8498
"1884_085_Vis3AP_Home3A",27,7924
"1884_124_Vis3AT_Home3A",234,786
"1884_130_Vis3AU_Home3A",85,3208
"1884_130_Vis3AU_Home3A",120,3208
"1883_008_Vis4AD_Home4A",145,NA
"1883_012_Vis4AE_Home4A",116,NA
"1883_027_Vis4AH_Home4A",202,NA
"1883_028_Vis4AH_Home4A",30,6919
"1883_029_Vis4AH_Home4A",159,NA
"1883_039_Vis4AI_Home4A",55,530
"1883_042_Vis4AJ_Home4A",104,431
"1883_043_Vis4AJ_Home4A",56,530
"1884_001_Vis4AK_Home4A",119,431
"1884_039_Vis4AQ_Home4A",23,431
"1884_042_Vis4AR_Home4A",145,8429
"1884_051_Vis4AS_Home4A",157,431
"1884_070_Vis4AU_Home4A",9,520
"1884_087_Vis4AW_Home4A",42,920
"1884_088_Vis4AW_Home4A",137,448
"1884_088_Vis4AW_Home4A",228,5151
"1884_106_Vis4AZ_Home4A",133,920
"1884_009_Vis1AK_Home1A",148,4346
"1884_020_Vis1AM_Home1A",6,598
"1884_030_Vis1AN_Home1A",36,9244
"1884_032_Vis1AN_Home1A",14,NA
"1884_032_Vis1AN_Home1A",15,NA
"1884_049_Vis1AQ_Home1A",30,598
