"game_str","play_per_game","pitcher"
"1883_002_Vis1AB_Home1A",10,NA
"1883_002_Vis1AB_Home1A",11,NA
"1883_004_Vis1AC_Home1A",11,606
"1883_004_Vis1AC_Home1A",157,NA
"1883_004_Vis1AC_Home1A",161,NA
"1883_005_Vis1AC_Home1A",8,858
"1883_005_Vis1AC_Home1A",25,4668
"1883_005_Vis1AC_Home1A",32,4668
"1883_005_Vis1AC_Home1A",159,NA
"1883_005_Vis1AC_Home1A",168,NA
"1883_005_Vis1AC_Home1A",183,NA
"1883_005_Vis1AC_Home1A",185,NA
"1883_005_Vis1AC_Home1A",187,NA
"1883_005_Vis1AC_Home1A",190,4668
"1883_005_Vis1AC_Home1A",226,NA
"1883_005_Vis1AC_Home1A",227,NA
"1883_007_Vis1AC_Home1A",8,602
"1883_007_Vis1AC_Home1A",74,602
"1883_007_Vis1AC_Home1A",79,602
"1883_007_Vis1AC_Home1A",82,NA
"1883_010_Vis1AD_Home1A",11,437
"1883_010_Vis1AD_Home1A",12,437
"1883_010_Vis1AD_Home1A",26,NA
"1883_010_Vis1AD_Home1A",40,NA
"1883_010_Vis1AD_Home1A",100,NA
"1883_010_Vis1AD_Home1A",118,NA
"1883_010_Vis1AD_Home1A",174,NA
"1883_010_Vis1AD_Home1A",178,NA
"1883_010_Vis1AD_Home1A",255,NA
"1883_010_Vis1AD_Home1A",266,NA
"1883_011_Vis1AD_Home1A",89,606
"1883_011_Vis1AD_Home1A",101,NA
"1883_011_Vis1AD_Home1A",102,NA
"1883_011_Vis1AD_Home1A",104,4356
"1883_011_Vis1AD_Home1A",106,4356
"1883_011_Vis1AD_Home1A",165,NA
"1883_011_Vis1AD_Home1A",166,4356
"1883_011_Vis1AD_Home1A",252,NA
"1883_011_Vis1AD_Home1A",254,5145
"1883_013_Vis1AE_Home1A",9,NA
"1883_013_Vis1AE_Home1A",26,NA
"1883_013_Vis1AE_Home1A",98,NA
"1883_013_Vis1AE_Home1A",120,NA
"1883_014_Vis1AE_Home1A",6,551
"1883_014_Vis1AE_Home1A",82,NA
"1883_014_Vis1AE_Home1A",85,NA
"1883_014_Vis1AE_Home1A",88,6735
"1883_014_Vis1AE_Home1A",89,NA
"1883_014_Vis1AE_Home1A",90,NA
"1883_014_Vis1AE_Home1A",173,NA
"1883_014_Vis1AE_Home1A",207,NA
"1883_014_Vis1AE_Home1A",208,NA
"1883_014_Vis1AE_Home1A",250,NA
"1883_015_Vis1AE_Home1A",47,8941
"1883_015_Vis1AE_Home1A",49,8941
"1883_015_Vis1AE_Home1A",122,602
"1883_015_Vis1AE_Home1A",192,NA
"1883_015_Vis1AE_Home1A",194,8332
"1883_015_Vis1AE_Home1A",218,NA
"1883_019_Vis1AF_Home1A",12,961
"1883_019_Vis1AF_Home1A",15,961
"1883_019_Vis1AF_Home1A",16,961
"1883_019_Vis1AF_Home1A",27,4206
"1883_021_Vis1AG_Home1A",38,551
"1883_021_Vis1AG_Home1A",83,5697
"1883_021_Vis1AG_Home1A",85,5697
"1883_021_Vis1AG_Home1A",88,5697
"1883_021_Vis1AG_Home1A",90,5697
"1883_021_Vis1AG_Home1A",97,5697
"1883_021_Vis1AG_Home1A",136,5697
"1883_021_Vis1AG_Home1A",139,5697
"1883_021_Vis1AG_Home1A",140,5697
"1883_021_Vis1AG_Home1A",142,5697
"1883_021_Vis1AG_Home1A",198,551
"1883_023_Vis1AG_Home1A",19,2931
"1883_023_Vis1AG_Home1A",32,602
"1883_023_Vis1AG_Home1A",48,2931
"1883_023_Vis1AG_Home1A",75,2931
"1883_023_Vis1AG_Home1A",79,2931
"1883_023_Vis1AG_Home1A",81,2931
"1883_023_Vis1AG_Home1A",83,2931
"1883_023_Vis1AG_Home1A",102,602
"1883_023_Vis1AG_Home1A",104,602
"1883_023_Vis1AG_Home1A",142,602
"1883_024_Vis1AG_Home1A",8,683
"1883_024_Vis1AG_Home1A",10,683
"1883_025_Vis1AG_Home1A",8,437
"1883_025_Vis1AG_Home1A",18,5125
"1883_025_Vis1AG_Home1A",19,NA
"1883_025_Vis1AG_Home1A",21,NA
"1883_031_Vis1AH_Home1A",21,3682
"1883_031_Vis1AH_Home1A",22,3682
"1883_031_Vis1AH_Home1A",35,NA
"1883_031_Vis1AH_Home1A",88,NA
"1883_031_Vis1AH_Home1A",124,NA
"1883_031_Vis1AH_Home1A",165,NA
"1883_031_Vis1AH_Home1A",166,3682
"1883_032_Vis1AH_Home1A",13,683
"1883_033_Vis1AH_Home1A",10,NA
"1883_033_Vis1AH_Home1A",21,NA
"1883_033_Vis1AH_Home1A",55,NA
"1883_033_Vis1AH_Home1A",66,NA
"1883_033_Vis1AH_Home1A",85,NA
"1883_033_Vis1AH_Home1A",86,NA
"1883_034_Vis1AH_Home1A",6,858
"1883_034_Vis1AH_Home1A",101,NA
"1883_035_Vis1AI_Home1A",97,NA
"1883_035_Vis1AI_Home1A",123,NA
"1883_036_Vis1AI_Home1A",47,NA
"1883_036_Vis1AI_Home1A",185,NA
"1883_036_Vis1AI_Home1A",196,NA
"1883_037_Vis1AI_Home1A",5,NA
"1883_037_Vis1AI_Home1A",6,NA
"1883_038_Vis1AI_Home1A",77,683
"1883_038_Vis1AI_Home1A",78,683
"1883_038_Vis1AI_Home1A",105,NA
"1883_038_Vis1AI_Home1A",107,NA
"1883_038_Vis1AI_Home1A",134,NA
"1883_048_Vis1AJ_Home1A",14,602
"1883_048_Vis1AJ_Home1A",17,602
"1883_048_Vis1AJ_Home1A",92,8977
"1883_048_Vis1AJ_Home1A",93,8977
"1883_048_Vis1AJ_Home1A",117,602
"1883_048_Vis1AJ_Home1A",119,602
"1883_049_Vis1AJ_Home1A",7,683
"1883_049_Vis1AJ_Home1A",14,683
"1883_049_Vis1AJ_Home1A",72,NA
"1883_049_Vis1AJ_Home1A",74,NA
"1883_049_Vis1AJ_Home1A",80,NA
"1883_049_Vis1AJ_Home1A",82,NA
"1883_049_Vis1AJ_Home1A",88,NA
"1883_049_Vis1AJ_Home1A",116,NA
"1883_050_Vis1AJ_Home1A",41,2873
"1883_050_Vis1AJ_Home1A",42,2873
"1883_050_Vis1AJ_Home1A",46,2873
"1883_050_Vis1AJ_Home1A",58,2873
"1883_050_Vis1AJ_Home1A",78,2873
"1883_050_Vis1AJ_Home1A",81,2873
"1884_054_Vis1AR_Home1A",18,2534
"1884_055_Vis1AR_Home1A",17,354
"1884_056_Vis1AR_Home1A",17,4102
"1884_060_Vis1AS_Home1A",8,523
"1884_060_Vis1AS_Home1A",12,523
"1884_065_Vis1AT_Home1A",15,6519
"1884_065_Vis1AT_Home1A",16,6519
"1884_065_Vis1AT_Home1A",19,6519
"1884_066_Vis1AT_Home1A",5,523
"1884_067_Vis1AT_Home1A",42,8912
"1884_067_Vis1AT_Home1A",51,473
"1884_067_Vis1AT_Home1A",54,473
"1884_067_Vis1AT_Home1A",61,8912
"1884_067_Vis1AT_Home1A",63,8912
"1884_067_Vis1AT_Home1A",64,8912
"1884_074_Vis1AU_Home1A",25,7987
"1884_075_Vis1AU_Home1A",54,733
"1884_077_Vis1AU_Home1A",19,9151
"1884_077_Vis1AU_Home1A",20,9151
"1884_077_Vis1AU_Home1A",45,354
"1884_077_Vis1AU_Home1A",49,354
"1884_091_Vis1AV_Home1A",8,523
"1884_106_Vis1AY_Home1A",18,2272
"1884_106_Vis1AY_Home1A",54,2272
"1884_129_Vis1BB_Home1A",52,3308
"1884_130_Vis1BB_Home1A",50,3743
"1884_130_Vis1BB_Home1A",67,354
"1884_130_Vis1BB_Home1A",87,3743
"1884_130_Vis1BB_Home1A",89,3743
"1884_130_Vis1BB_Home1A",121,3743
"1884_131_Vis1BB_Home1A",22,8586
"1884_131_Vis1BB_Home1A",57,8586
"1884_131_Vis1BB_Home1A",73,364
"1884_131_Vis1BB_Home1A",134,8586
"1884_131_Vis1BB_Home1A",137,8586
"1884_131_Vis1BB_Home1A",138,8586
"1884_131_Vis1BB_Home1A",139,8586
"1884_131_Vis1BB_Home1A",141,8586
"1884_131_Vis1BB_Home1A",146,8586
"1884_131_Vis1BB_Home1A",177,364
"1884_131_Vis1BB_Home1A",183,8586
"1884_131_Vis1BB_Home1A",185,8586
"1884_135_Vis1BC_Home1A",22,354
"1884_135_Vis1BC_Home1A",24,354
"1883_024_Vis2AB_Home2A",19,8175
"1883_025_Vis2AB_Home2A",34,9082
"1883_025_Vis2AB_Home2A",60,9082
"1883_025_Vis2AB_Home2A",129,NA
"1883_025_Vis2AB_Home2A",144,NA
"1883_026_Vis2AB_Home2A",6,558
"1883_026_Vis2AB_Home2A",7,558
"1883_026_Vis2AB_Home2A",42,558
"1883_026_Vis2AB_Home2A",93,NA
"1883_026_Vis2AB_Home2A",150,NA
"1883_026_Vis2AB_Home2A",152,NA
"1883_035_Vis2AC_Home2A",3,923
"1883_035_Vis2AC_Home2A",30,8415
"1883_035_Vis2AC_Home2A",114,923
"1883_035_Vis2AC_Home2A",115,923
"1883_036_Vis2AC_Home2A",77,550
"1883_036_Vis2AC_Home2A",97,7328
"1883_036_Vis2AC_Home2A",134,7328
"1883_036_Vis2AC_Home2A",135,7328
"1883_036_Vis2AC_Home2A",236,NA
"1883_037_Vis2AC_Home2A",32,9864
"1883_037_Vis2AC_Home2A",33,9864
"1883_037_Vis2AC_Home2A",43,549
"1883_037_Vis2AC_Home2A",99,549
"1883_037_Vis2AC_Home2A",101,549
"1883_037_Vis2AC_Home2A",193,NA
"1883_037_Vis2AC_Home2A",197,NA
"1883_037_Vis2AC_Home2A",222,NA
"1883_037_Vis2AC_Home2A",224,NA
"1883_037_Vis2AC_Home2A",374,NA
"1883_037_Vis2AC_Home2A",379,8548
"1883_037_Vis2AC_Home2A",380,NA
"1883_039_Vis2AD_Home2A",27,NA
"1883_039_Vis2AD_Home2A",101,NA
"1883_039_Vis2AD_Home2A",114,NA
"1883_039_Vis2AD_Home2A",210,NA
"1883_041.5_Vis2AD_Home2A",100,NA
"1883_041.5_Vis2AD_Home2A",103,NA
"1883_041.5_Vis2AD_Home2A",104,NA
"1883_041_Vis2AD_Home2A",79,456
"1883_041_Vis2AD_Home2A",102,8483
"1883_041_Vis2AD_Home2A",104,8483
"1883_041_Vis2AD_Home2A",105,8483
"1883_041_Vis2AD_Home2A",108,8483
"1883_041_Vis2AD_Home2A",133,NA
"1883_041_Vis2AD_Home2A",182,NA
"1883_041_Vis2AD_Home2A",185,NA
"1883_041_Vis2AD_Home2A",186,5568
"1883_041_Vis2AD_Home2A",188,NA
"1883_041_Vis2AD_Home2A",206,NA
"1883_041_Vis2AD_Home2A",208,NA
"1883_041_Vis2AD_Home2A",211,NA
"1883_041_Vis2AD_Home2A",215,NA
"1883_041_Vis2AD_Home2A",216,3783
"1883_046_Vis2AE_Home2A",5,NA
"1883_046_Vis2AE_Home2A",37,NA
"1883_046_Vis2AE_Home2A",39,NA
"1883_046_Vis2AE_Home2A",94,NA
"1883_046_Vis2AE_Home2A",98,NA
"1883_046_Vis2AE_Home2A",111,NA
"1883_046_Vis2AE_Home2A",112,NA
"1883_047.5_Vis2AE_Home2A",28,NA
"1883_047.5_Vis2AE_Home2A",70,NA
"1883_047.5_Vis2AE_Home2A",109,NA
"1883_047.5_Vis2AE_Home2A",185,NA
"1884_010_Vis2AF_Home2A",107,3268
"1884_011_Vis2AF_Home2A",18,5429
"1884_011_Vis2AF_Home2A",20,5429
"1884_012_Vis2AF_Home2A",101,2925
"1884_013_Vis2AG_Home2A",13,NA
"1884_014_Vis2AG_Home2A",27,7017
"1884_025_Vis2AH_Home2A",16,3525
"1884_025_Vis2AH_Home2A",17,3525
"1884_025_Vis2AH_Home2A",20,3525
"1884_025_Vis2AH_Home2A",22,3525
"1884_025_Vis2AH_Home2A",30,3525
"1884_025_Vis2AH_Home2A",39,3525
"1884_027_Vis2AI_Home2A",31,5454
"1884_027_Vis2AI_Home2A",34,5454
"1884_027_Vis2AI_Home2A",36,5454
"1884_027_Vis2AI_Home2A",127,5454
"1884_038_Vis2AJ_Home2A",17,549
"1884_039_Vis2AJ_Home2A",68,550
"1884_041_Vis2AK_Home2A",10,819
"1884_043_Vis2AK_Home2A",33,5338
"1884_057_Vis2AL_Home2A",5,549
"1884_057_Vis2AL_Home2A",108,549
"1884_057_Vis2AL_Home2A",119,8399
"1884_057_Vis2AL_Home2A",127,549
"1884_057_Vis2AL_Home2A",128,549
"1884_057_Vis2AL_Home2A",143,549
"1884_057_Vis2AL_Home2A",241,6051
"1884_057_Vis2AL_Home2A",260,949
"1884_058_Vis2AL_Home2A",141,7388
"1884_058_Vis2AL_Home2A",150,7388
"1884_058_Vis2AL_Home2A",152,7388
"1884_058_Vis2AL_Home2A",209,9884
"1884_063_Vis2AM_Home2A",84,4785
"1884_063_Vis2AM_Home2A",86,4785
"1884_063_Vis2AM_Home2A",90,4785
"1884_063_Vis2AM_Home2A",92,4785
"1884_063_Vis2AM_Home2A",95,4785
"1884_072_Vis2AN_Home2A",18,2813
"1884_081_Vis2AO_Home2A",6,961
"1884_096_Vis2AQ_Home2A",13,5863
"1884_098_Vis2AQ_Home2A",112,5610
"1884_098_Vis2AQ_Home2A",174,943
"1884_098_Vis2AQ_Home2A",176,943
"1884_098_Vis2AQ_Home2A",206,943
"1884_098_Vis2AQ_Home2A",214,943
"1884_098_Vis2AQ_Home2A",215,943
"1884_109.5_Vis2AR_Home2A",57,9339
"1884_109.5_Vis2AR_Home2A",62,9339
"1884_109.5_Vis2AR_Home2A",63,9339
"1884_109.5_Vis2AR_Home2A",65,9339
"1884_109.5_Vis2AR_Home2A",66,9339
"1884_109.5_Vis2AR_Home2A",68,9339
"1884_109.5_Vis2AR_Home2A",69,9339
"1884_109_Vis2AR_Home2A",125,6609
"1884_109_Vis2AR_Home2A",126,6609
"1884_109_Vis2AR_Home2A",134,6609
"1884_109_Vis2AR_Home2A",198,943
"1884_109_Vis2AR_Home2A",200,943
"1884_110_Vis2AR_Home2A",84,2414
"1884_110_Vis2AR_Home2A",87,2414
"1884_110_Vis2AR_Home2A",88,2414
"1884_110_Vis2AR_Home2A",90,2414
"1884_110_Vis2AR_Home2A",106,714
"1884_114_Vis2AS_Home2A",63,9795
"1884_115_Vis2AS_Home2A",15,639
"1884_115_Vis2AS_Home2A",16,639
"1884_116_Vis2AS_Home2A",86,2486
"1884_116_Vis2AS_Home2A",91,2486
"1884_116_Vis2AS_Home2A",92,2486
"1884_118_Vis2AT_Home2A",100,389
"1884_122_Vis2AU_Home2A",77,550
"1884_122_Vis2AU_Home2A",133,7861
"1884_122_Vis2AU_Home2A",134,7861
"1884_122_Vis2AU_Home2A",148,961
"1884_122_Vis2AU_Home2A",222,504
"1884_122_Vis2AU_Home2A",240,7861
"1884_122_Vis2AU_Home2A",323,5820
"1884_123_Vis2AU_Home2A",45,639
"1884_131_Vis2AV_Home2A",19,8542
"1884_132_Vis2AV_Home2A",21,8318
"1884_132_Vis2AV_Home2A",23,8318
"1884_135_Vis2AW_Home2A",7,961
"1884_135_Vis2AW_Home2A",16,9998
"1884_135_Vis2AW_Home2A",19,9998
"1884_135_Vis2AW_Home2A",20,9998
"1884_135_Vis2AW_Home2A",94,4079
"1884_136_Vis2AW_Home2A",26,2262
"1884_136_Vis2AW_Home2A",30,2262
"1883_010_Vis3AB_Home3A",71,NA
"1883_010_Vis3AB_Home3A",153,NA
"1883_010_Vis3AB_Home3A",155,NA
"1883_010_Vis3AB_Home3A",160,NA
"1883_010_Vis3AB_Home3A",213,NA
"1883_010_Vis3AB_Home3A",225,NA
"1883_011_Vis3AB_Home3A",100,645
"1883_011_Vis3AB_Home3A",104,NA
"1883_011_Vis3AB_Home3A",108,645
"1883_011_Vis3AB_Home3A",217,NA
"1883_011_Vis3AB_Home3A",219,NA
"1883_012_Vis3AB_Home3A",64,NA
"1883_012_Vis3AB_Home3A",77,NA
"1883_012_Vis3AB_Home3A",81,NA
"1883_012_Vis3AB_Home3A",91,NA
"1883_012_Vis3AB_Home3A",244,2478
"1883_013_Vis3AB_Home3A",61,NA
"1883_013_Vis3AB_Home3A",93,NA
"1883_013_Vis3AB_Home3A",112,NA
