"game_str","play_per_game","pitcher","catcher"
"1883_004_Vis1AC_Home1A",121,NA,NA
"1883_015_Vis1AE_Home1A",189,NA,NA
"1883_035_Vis1AI_Home1A",8,NA,NA
"1883_038_Vis1AI_Home1A",91,NA,NA
"1883_048_Vis1AJ_Home1A",261,NA,NA
"1884_008_Vis1AK_Home1A",101,473,418
"1884_030_Vis1AN_Home1A",37,NA,NA
"1884_032_Vis1AN_Home1A",35,2629,7440
"1884_044.5_Vis1AP_Home1A",17,6926,7184
"1884_067_Vis1AT_Home1A",72,8912,4222
"1884_137_Vis1BC_Home1A",21,7802,4254
"1883_037_Vis2AC_Home2A",239,NA,NA
"1884_010_Vis2AF_Home2A",89,3268,5444
"1884_122_Vis2AU_Home2A",44,2010,5669
"1883_017_Vis3AC_Home3A",309,NA,NA
"1883_040_Vis3AE_Home3A",83,NA,NA
"1884_011_Vis3AH_Home3A",48,433,719
"1884_022_Vis3AI_Home3A",243,4573,4979
"1884_037_Vis3AK_Home3A",52,433,719
"1884_037_Vis3AK_Home3A",131,433,719
"1884_037_Vis3AK_Home3A",246,677,719
"1884_038_Vis3AK_Home3A",169,3358,8815
"1884_051_Vis3AL_Home3A",258,436,786
"1884_075_Vis3AN_Home3A",155,8303,7145
"1884_086_Vis3AP_Home3A",198,891,544
"1884_107_Vis3AR_Home3A",251,9489,659635
"1884_118_Vis3AS_Home3A",69,456,786
"1884_130_Vis3AU_Home3A",183,8736,3208
"1884_130_Vis3AU_Home3A",242,8736,3208
"1884_139_Vis3AV_Home3A",181,4833,6789
"1883_039_Vis4AI_Home4A",141,463,530
"1883_039_Vis4AI_Home4A",259,NA,NA
"1883_041_Vis4AI_Home4A",114,NA,NA
"1884_005_Vis4AL_Home4A",236,5460,2384
"1884_016_Vis4AN_Home4A",86,933,520
"1884_026_Vis4AO_Home4A",110,7191,8904
"1884_041_Vis4AR_Home4A",32,6302,8429
"1884_086_Vis4AW_Home4A",150,933,920
"1884_087_Vis4AW_Home4A",69,674,920
"1884_104_Vis4AY_Home4A",15,674,719
"1884_105_Vis4AZ_Home4A",14,484,920
"1884_117_Vis4BA_Home4A",21,843,719
"1884_126_Vis4BC_Home4A",55,4184,5492
