player_id,level,total_plays,total_pickoffs,percent_pickoff,bayesian_percent_pickoff
602,1A,63,12.0,0.19047619047619047,0.12220593133480202
4141,1A,1,0.0,0.0,0.03547588707514956
683,1A,27,7.0,0.25925925925925924,0.11440610702380037
9441,1A,16,0.0,0.0,0.02741318546716102
593,1A,6,0.0,0.0,0.03230839715772549
2361,1A,9,0.0,0.0,0.03066559730224792
7254,1A,1,0.0,0.0,0.03547588707514956
955,1A,49,0.0,0.0,0.018275456978107348
606,1A,10,2.0,0.2,0.06348783734721046
858,1A,7,2.0,0.2857142857142857,0.06682930247074785
4668,1A,3,3.0,1.0,0.09074094794023825
9025,1A,45,0.0,0.0,0.01904494990350134
551,1A,48,3.0,0.0625,0.04907418613094518
8748,1A,8,0.0,0.0,0.031194314497114264
3564,1A,16,0.0,0.0,0.02741318546716102
9634,1A,19,0.0,0.0,0.026221307838154018
576,1A,23,0.0,0.0,0.024784523847022292
437,1A,86,3.0,0.03488372093023256,0.035362281182592846
4356,1A,11,3.0,0.2727272727272727,0.07884049575135454
5145,1A,1,1.0,1.0,0.05508373021240446
7768,1A,1,0.0,0.0,0.03547588707514956
6735,1A,1,1.0,1.0,0.05508373021240446
8941,1A,2,2.0,1.0,0.07325519693908898
8332,1A,1,1.0,1.0,0.05508373021240446
3530,1A,26,0.0,0.0,0.023806187379376675
974,1A,28,0.0,0.0,0.023195772318367017
3791,1A,2,0.0,0.0,0.034793658477550525
961,1A,19,3.0,0.15789473684210525,0.06969956870771923
4206,1A,9,1.0,0.1111111111111111,0.0476147498446208
5641,1A,1,0.0,0.0,0.03547588707514956
5697,1A,17,9.0,0.5294117647058824,0.16133239165421834
9182,1A,12,0.0,0.0,0.029181778077945603
511,1A,2,0.0,0.0,0.034793658477550525
2931,1A,21,6.0,0.2857142857142857,0.10998972170186799
6209,1A,17,0.0,0.0,0.027004033445263094
5125,1A,30,1.0,0.03333333333333333,0.035115878010407844
3682,1A,3,3.0,1.0,0.09074094794023825
4989,1A,9,0.0,0.0,0.03066559730224792
662,1A,23,0.0,0.0,0.024784523847022292
7545,1A,7,0.0,0.0,0.03174158317250223
3581,1A,21,0.0,0.0,0.025482679448346864
9611,1A,9,0.0,0.0,0.03066559730224792
7029,1A,13,0.0,0.0,0.028718575251311544
4587,1A,8,0.0,0.0,0.031194314497114264
5509,1A,9,0.0,0.0,0.03066559730224792
4966,1A,9,0.0,0.0,0.03066559730224792
6401,1A,20,0.0,0.0,0.025846717726180392
8442,1A,5,0.0,0.0,0.03289582256059322
391,1A,8,0.0,0.0,0.031194314497114264
7451,1A,18,0.0,0.0,0.026606915306362167
807,1A,12,0.0,0.0,0.029181778077945603
4363,1A,1,0.0,0.0,0.03547588707514956
8977,1A,6,2.0,0.3333333333333333,0.0680226828720112
2873,1A,8,6.0,0.75,0.13464259035918322
6913,1A,7,0.0,0.0,0.03174158317250223
465,1A,226,1.0,0.004424778761061947,0.010178515365335606
473,1A,107,5.0,0.04672897196261682,0.04337114803078106
9662,1A,15,0.0,0.0,0.02783492678204042
367,1A,53,0.0,0.0,0.017565730493520653
877,1A,15,0.0,0.0,0.02783492678204042
5991,1A,18,3.0,0.16666666666666666,0.07072456236518569
523,1A,299,8.0,0.026755852842809364,0.028106791521010397
5668,1A,3,1.0,0.3333333333333333,0.05300509888363448
5627,1A,4,0.0,0.0,0.03350500445986347
504,1A,84,1.0,0.011904761904761904,0.020964703289795727
3940,1A,3,0.0,0.0,0.03413717435533259
521,1A,92,0.0,0.0,0.012741339724173432
639,1A,5,0.0,0.0,0.03289582256059322
6294,1A,6,0.0,0.0,0.03230839715772549
814,1A,134,2.0,0.014925373134328358,0.02070255565669906
3331,1A,2,0.0,0.0,0.034793658477550525
8231,1A,20,0.0,0.0,0.025846717726180392
3453,1A,1,0.0,0.0,0.03547588707514956
906,1A,143,0.0,0.0,0.009374457206386671
7467,1A,28,0.0,0.0,0.023195772318367017
402,1A,49,3.0,0.061224489795918366,0.04857848728113765
8325,1A,3,0.0,0.0,0.03413717435533259
741,1A,112,3.0,0.026785714285714284,0.02968685333847301
7634,1A,25,0.0,0.0,0.0241236032111017
9068,1A,4,0.0,0.0,0.03350500445986347
6591,1A,10,0.0,0.0,0.030154504013877124
364,1A,164,2.0,0.012195121951219513,0.017800328228189846
