mccaffrey,13.7,14.8,12.5,21.3,19.9,19.3,7.2,36.3,0,15.7,14.1,6.9,24.6,28.3,22.8,12.8,28.3,15.4
jefferson,34.9,7.8,2.9,26,24.3,13.7,0,12.8,22,30.3,4.8,24.8,15.1,27.8,24.3,25.3,2,5.8
ekeler,9.2,13.9,9.3,31.9,33.9,19.3,30.7,0,20.6,9.8,17,19.5,10.7,20.4,14,21.9,30.1,7
adams,25.1,8.2,11.7,15,25.9,0,13.5,0.7,31.6,23.1,29.6,10.9,33.7,8.6,4.8,2.5,30.8,9.8
kelce,22.1,7.6,15.9,19.7,30,15.2,12.8,0,15.6,17.1,32.5,13.7,5.6,9.1,15.5,14.3,7.8,6.8
diggs,22.2,38.8,10.9,8.2,20.2,25.8,0,19.8,11.8,18.8,12.8,17.7,18.7,5.2,8.2,3.6,3.6,19.9
lamb,3.9,11.6,18.7,18.7,7.8,10.2,8.6,16.3,0,32.5,7,14.7,17.9,5.8,16.2,29,15.5,13.7
barkley,30.4,10.3,20.6,17.2,18.1,17,15.5,13.7,0,22.5,4.5,13.2,16.6,5.8,20.5,23.3,6.3,0
chubb,14.8,30.8,17.3,19.7,25.4,7.5,17.7,24.9,0,13.6,8.2,19.7,8,6.9,9.9,10.7,12.1,20.7
hill,14,36.5,4.3,20.9,9.5,23.7,10.7,25.5,23.8,12.9,0,12,25.1,16.1,17.4,12.3,13.7,3.3
allen,33.5,29.7,26.7,24.5,36.2,26.4,0,19.6,26.8,21.6,12.6,30.9,16.9,20.6,35.9,25,2.7,22.8
Abrown,20.5,9.4,17,12,4.7,15.2,0,36.6,13.9,1.2,6.5,10.6,27.9,15,22.6,13.3,17.7,11.5
higgins,3.7,16.1,11.8,21.9,0,7.7,11.8,12.4,9.5,0,19.3,20.9,11,0,13.8,22.8,1.8,1.2
mahomes,34.9,17.3,18.1,24.4,30.5,21.6,27.9,0,35.1,32.1,27.5,19.4,19.8,22.8,32.7,23.8,26,15
kittle,0,0,4.8,3.4,5.2,12.3,18.8,11.4,0,2.6,22.4,4.1,3.2,4.8,23.3,27,10.3,16.9
waddle,15.7,34.6,13.1,4.9,3.8,13.9,10.8,26.6,17,8.6,0,11,1.4,4.1,18.9,22.8,6.7,7.8
jacobs,7.8,8.6,12.2,32,27.8,0,35,6.4,10.2,19.6,17.5,45.3,20,18.4,12,5.5,17.5,6
hurts,24.7,34,27.6,17,27.7,16.9,0,28.4,20,22.8,24.2,29.8,34.4,30.4,36.7,0,0,9.5
amonra,16.4,34.9,10.3,0,3.8,0,0.9,10.4,7.5,17.1,11.5,23.4,29.1,10.4,11.7,11.1,8.2,7.9
Gdavis,16.8,0,5.2,1.8,30.6,14.9,0,4.5,4.3,18.3,9.3,5.8,8.5,4.6,7.6,10,0,5.4
hockenson,5.8,4.1,9.3,35.9,1.1,0,6.8,9.5,11.5,8,5.9,12.8,5.3,8.7,6.8,29.4,9.4,2.1
pollard,3.2,17.8,10.5,1.3,14.6,6.2,11.9,33.2,0,20.3,33.9,7.1,23.6,20.2,12.6,11,0,1.9
