Player,Position,Team,Points
Shohei Ohtani,OF,LAD,270.8297908
Bobby Witt Jr.,SS,KCR,243.3873324
Aaron Judge,OF,NYY,243.0305658
Elly De La Cruz,SS,CIN,241.1089366
Zack Wheeler,SP,PHI,239.3448839
Tarik Skubal,SP,DET,234.2105474
Jose Ramirez,3B,CLE,230.4620687
Logan Gilbert,SP,SEA,229.3416427
Paul Skenes,SP,PIT,225.7744144
Logan Webb,SP,SFG,224.3970176
Corbin Carroll,OF,ARI,221.5762993
Corbin Burnes,SP,ARI,219.5032154
Framber Valdez,SP,HOU,217.8953069
Kyle Tucker,OF,CHC,217.5551603
Juan Soto,OF,NYM,215.9691831
Pablo Lopez,SP,MIN,215.8908079
Gunnar Henderson,SS,BAL,215.4244499
Fernando Tatis Jr.,OF,SDP,215.1075017
Cole Ragans,SP,KCR,214.8681582
Dylan Cease,SP,SDP,214.3812093
Francisco Lindor,SS,NYM,212.6511196
Julio Rodriguez,OF,SEA,212.2448573
Aaron Nola,SP,PHI,210.1450504
Jazz Chisholm Jr.,3B,NYY,209.3812188
Luis Castillo,SP,SEA,207.0603922
Mookie Betts,OF,LAD,205.8697557
Kevin Gausman,SP,TOR,203.1178982
Vladimir Guerrero Jr.,1B,TOR,202.9946434
Emmanuel Clase,RP,CLE,201.6134754
Yordan Alvarez,OF,HOU,199.15153
Jackson Chourio,OF,MIL,198.5946095
Edwin Diaz,RP,NYM,196.8333423
Chris Sale,SP,ATL,196.8253744
Pete Alonso,1B,NYM,194.818531
Max Fried,SP,NYY,193.2976817
Blake Snell,SP,LAD,192.9811904
Kyle Schwarber,OF,PHI,192.9241457
Bailey Ober,SP,MIN,192.4513701
Seth Lugo,SP,KCR,192.420829
Shota Imanaga,SP,CHC,192.1700355
Trea Turner,SS,PHI,191.8647628
Ryan Helsley,RP,STL,191.3396377
Jarren Duran,OF,BOS,191.2599482
Jose Berrios,SP,TOR,191.0490759
Hunter Brown,SP,HOU,190.611685
Garrett Crochet,SP,BOS,189.8739426
Brent Rooker,OF,ATH,189.7148052
Sonny Gray,SP,STL,189.3033219
Matt Olson,1B,ATL,188.8301656
Justin Steele,SP,CHC,188.4819077
Bryce Miller,SP,SEA,188.4819077
Jackson Merrill,OF,SDP,188.4226466
Raisel Iglesias,RP,ATL,188.3373864
Austin Riley,3B,ATL,188.1836123
Michael King,SP,SDP,188.153086
Cristopher Sanchez,SP,PHI,187.3157688
Oneil Cruz,SS,PIT,186.8240549
Tanner Bibee,SP,CLE,186.7361537
Freddy Peralta,SP,MIL,186.4219701
Zac Gallen,SP,ARI,186.3236602
Rafael Devers,3B,BOS,186.042545
Josh Hader,RP,HOU,185.635291
Bryce Harper,1B,PHI,185.3690379
Freddie Freeman,1B,LAD,185.0404999
Manny Machado,3B,SDP,184.9565284
Ronald Acuna Jr.,OF,ATL,183.7578056
Yusei Kikuchi,SP,LAA,183.7010535
Ketel Marte,2B,ARI,183.4345673
George Kirby,SP,SEA,183.3768475
Joe Ryan,SP,MIN,182.4299181
Sandy Alcantara,SP,MIA,181.3418074
Mitch Keller,SP,PIT,181.0728031
Zach Eflin,SP,BAL,181.0604728
Teoscar Hernandez,OF,LAD,180.4106672
Spencer Schwellenbach,SP,ATL,180.0005954
Chris Bassitt,SP,TOR,179.9146158
CJ Abrams,SS,WSN,179.8967582
Anthony Santander,OF,TOR,179.5273331
Mason Miller,RP,ATH,179.1153781
Marcell Ozuna,OF,ATL,179.0089263
Devin Williams,RP,NYY,178.681346
Jhoan Duran,RP,MIN,178.5978152
Yoshinobu Yamamoto,SP,LAD,177.5384237
Carlos Rodon,SP,NYY,177.5281644
Brenton Doyle,OF,COL,176.8196876
Ryan Walker,RP,SFG,176.045358
Michael Harris II,OF,ATL,176.0134718
Willy Adames,SS,SFG,175.9357192
Jack Flaherty,SP,DET,174.7168893
Tanner Houck,SP,BOS,174.4909933
Jared Jones,SP,PIT,174.221989
Jeff Hoffman,RP,TOR,173.3783046
Christian Walker,1B,HOU,173.2775153
Andres Munoz,RP,SEA,172.9742989
Wyatt Langford,OF,TEX,172.9455206
Luis Robert Jr.,OF,CHW,172.8632177
Tyler Glasnow,SP,LAD,172.6592597
Brady Singer,SP,CIN,171.4333035
Nathan Eovaldi,SP,TEX,171.3655347
Lawrence Butler,OF,ATH,171.3097757
MacKenzie Gore,SP,WSN,171.036713
Hunter Greene,SP,CIN,170.6095814
Randy Arozarena,OF,SEA,169.2956958
Taj Bradley,SP,TBR,169.1926491
Reynaldo Lopez,SP,ATL,168.8887249
Luis Severino,SP,ATH,168.8355942
Jose Altuve,2B,HOU,168.5043385
Bryan Reynolds,OF,PIT,168.3498616
Ian Happ,OF,CHC,168.0723918
Corey Seager,SS,TEX,167.8459425
Matt Chapman,3B,SFG,167.7783778
Ozzie Albies,2B,ATL,167.7261962
James Wood,OF,WSN,167.4795818
William Contreras,C,MIL,167.4229709
Nick Pivetta,SP,SDP,167.3485852
Bryan Abreu,RP,HOU,166.532338
Kodai Senga,SP,NYM,166.4265532
Adolis Garcia,OF,TEX,166.3033067
Marcus Semien,2B,TEX,166.1207253
Justin Martinez,RP,ARI,165.6490857
Ronel Blanco,SP,HOU,165.4367525
Ryan Pepiot,SP,TBR,164.9870313
Felix Bautista,RP,BAL,164.628061
Erick Fedde,SP,STL,164.1882067
Ezequiel Tovar,SS,COL,163.6964424
Roki Sasaki,SP,LAD,163.3791228
Josh Naylor,1B,ARI,162.6436304
Ranger Suarez,SP,PHI,162.5577086
Robbie Ray,SP,SFG,162.0751385
Michael Wacha,SP,KCR,161.871832
Lucas Erceg,RP,KCR,161.869385
JP Sears,SP,ATH,161.8492424
Tanner Scott,RP,LAD,161.6714633
Brayan Bello,SP,BOS,161.46729
Dansby Swanson,SS,CHC,161.3608287
Miles Mikolas,SP,STL,160.8514901
Taylor Ward,OF,LAA,160.7429737
Shane McClanahan,SP,TBR,160.5678477
Robert Suarez,RP,SDP,160.5421048
Jameson Taillon,SP,CHC,160.1961547
Jake Burger,3B,TEX,159.9889861
Merrill Kelly,SP,ARI,159.8367919
Brandon Pfaadt,SP,ARI,159.6537672
Jesus Luzardo,SP,PHI,158.7915526
Mark Vientos,3B,NYM,158.7627843
Jake Irvin,SP,WSN,158.4198596
Dylan Crews,OF,WSN,158.1171831
Jason Adam,RP,SDP,157.4590678
Pete Crow-Armstrong,OF,CHC,157.3733561
Jeremy Pena,SS,HOU,157.2188394
Alex Bregman,3B,BOS,157.1760313
Cody Bellinger,OF,NYY,157.0902167
Nick Castellanos,OF,PHI,156.945999
Anthony Volpe,SS,NYY,156.6913286
Zack Gelof,2B,ATH,156.2823512
Riley Greene,OF,DET,156.1884944
Paul Goldschmidt,1B,NYY,155.7994409
Matt McLain,2B,CIN,155.318801
Cal Raleigh,C,SEA,154.7393292
